Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
Bateau;JOSE ILLUECA;42N28,110;3E11,580;WGS 84;;Port Vendres
LIVRE;JOSE ILLUECA;42N28,110;3E11,587;WGS 84;80;Port Vendres
LIVRE;ROLAND ISABELLE;42N28,590;3E09,979;WGS 84;;Port Vendres
Bateau;;42N28,800;3E09,450;WGS 84;;Port Vendres
Bateau;SAINT LUCIEN;42N31,190;3E08,570;WGS 84;;Port Vendres
Bateau;;42N31,300;3E08,040;WGS 84;;Port Vendres
Vérifié;SAUMUR;42N31,540;3E08,050;WGS 84;42;Port Vendres
Bateau;ASTRÉE;42N31,710;3E08,020;WGS 84;43;Port Vendres
CERES;B 17;42N34,252;8E45,724;WGS 84;;Corse
LIVRE;ALICE ROBERT;42N35,360;3E07,580;WGS 84;;Port Vendres
Vérifié;ALICE ROBERT;42N35,386;3E07,810;WGS 84;49 / 3;Port Vendres
Vérifié;PROSPER SCHIAFFINO (DONATOR);42N59,587;6E16,422;WGS 84;50 / 3;Giens
Vérifié;LE SAGONA (LE GREC);42N59,625;6E16,707;WGS 84;50 / 3;Giens
Livre JONCHERAY;Bateau pêche;43N00,608;6E07,460;WGS 84;;Giens
Livre JONCHERAY;VILLE DE GRASSE (Avant);43N00,623;6E08,465;WGS 84;50 / 1;Giens
Internet Perso;VILLE DE GRASSE (Arrière);43N00,654;6E08,456;WGS 84;50 / 3;Giens
Vérifié;MICHEL C;43N00,707;6E08,441;WGS 84;36 / 2;Giens
SCUBAXPEDIA; LA TANTINE (Barge aux congres);43N01,237;6E21,517;WGS 84;48;Giens
Livre JONCHERAY;LA TANTINE (Barge congres);43N01,241;6E21,512;WGS 84;48;Giens
Pts Yannick;SALLY OF NEW YORK;43N01,462;6E04,869;WGS 84;85;Giens
Livre JONCHERAY;TORPILLEUR 134;43N01,526;6E05,507;ED 50;67 / 2;Giens
Vérifié;Avion MUSTANG (P 51);43N02,175;6E04,704;WGS 84;55 /1;Giens
Livre JONCHERAY;LE MARCEL;43N02,321;6E13,960;WGS 84;31;Giens
Vérifié;DORNIER 24T;43N02,548;6E24,504;WGS 84;94 / 3;Lavandou
Livre JONCHERAY;LA PUISSANTE;43N02,801;6E28,169;WGS 84;15;Le Levant
Livre JONCHERAY;L'ARROYO;43N02,872;5E52,180;WGS 84;18 à 36;Toulon
Internet Perso;LA PUISSANTE;43N02,900;6E28,200;;15;Le Levant
Livre JONCHERAY;LE GUYANE;43N03,131;6E00,784;ED 50;85 à 102;Toulon
Livre JONCHERAY;LE VENUS DES ÎLES II;43N03,152;6E01,494;WGS 84;84;Carqueiranne
Livre JONCHERAY;LE GAPEAU;43N03,335;5E47,487;ED 50;71;La Ciotat
Livre JONCHERAY;LA MAJOR (Barge);43N03,447;5E45,685;ED 50;93;La Ciotat
OCEANS;LE MONA;43N03,526;5E48,590;WGS 84;34;Sanary
Livre JONCHERAY;LE MONA;43N03,526;5E48,590;WGS 84;34;Sanary
Livre JONCHERAY;SUPER MYSTERE B2 (Avion);43N03,598;5E56,596;WGS 84;48;Toulon
Livre JONCHERAY;RED FLASH;43N03,607;6E03,101;WGS 84;61;Carqueiranne
Vérifié;LE HEINKELL 111 (Avion);43N03,645;6E00,502;WGS 84;84;Carqueiranne
Vérifié;LE HEINKELL 111 (Avion) 2;43N03,647;6E00,486;WGS 84;84;Carqueiranne
Livre JONCHERAY;DORNIER 24         Avant;43N03,659;5E53,955;WGS 84;42;Toulon
Livre JONCHERAY;TORPILLEUR 207 ou ETOILE;43N03,695;6E00,598;ED 50;84;Toulon
Livre JONCHERAY;DORNIER 24         Arrière;43N03,703;5E53,977;WGS 84;44;Toulon
Vérifié;LE FERRANDO;43N03,774;6E13,570;WGS 84;31 / 2;Giens
Livre JONCHERAY;LE TROMBLON;43N03,807;5E54,309;WGS 84;27;Toulon
Livre JONCHERAY;LE PHOEBUS;43N03,900;5E20,106;ED 50;81;La Ciotat
Internet;PROTEE;43N04,260;5E32,230;WGS 84;127;La Ciotat
Livre JONCHERAY;PROTEE;43N04,260;5E32,230;WGS 84;127;La Ciotat
Livre JONCHERAY;L'ARIANE;43N04,299;5E57,223;WGS 84;18;Toulon
Livre JONCHERAY;GLENN MARTIN (Avion);43N04,822;6E00,465;WGS 84;45;Carqueiranne
Livre JONCHERAY;LE PANAMA;43N05,068;5E58,888;ED 50;53;Toulon
Livre JONCHERAY;NATAL;43N05,590;5E17,390;WGS 84;116 à 127;Marseille
Internet;NATAL;43N05,590;5E17,390;WGS 84;116 à 127;Marseille
Livre JONCHERAY;Avion WILDCAT;43N06,210;6E23,947;WGS 84;52;Carqueiranne
OCEANS;Avion WILDCAT;43N06,210;6E23,974;WGS 84;52;Carqueiranne
Internet Perso;LE SPAHIS;43N06,420;6E24,280;;22;
Livre JONCHERAY;UJ 6078 (Ex La Havraise)   2;43N07,745;5E34,420;ED 50;97;Cassis
Livre JONCHERAY;UJ 6078 (Ex La Havraise)   1;43N07,796;5E34,467;ED 50;97;Cassis
Livre JONCHERAY;Bananier;43N07,796;5E34,467;ED 50;96;Ciotat
OCEANS;Avion HELLCAT;43N08,550;6E27,470;ED 50;57;
Livre JONCHERAY;Avion HELLCAT;43N08,750;6E27,472;ED 50;57;Cavalaire
Livre JONCHERAY;JUNKERS 88;43N09,351;5E33,199;ED 50;72 / 2;Cassis
Vérifié;LE PROPHETE;43N09,464;6E37,704;WGS 84;34 / 2;Cavalaire
Vérifié;LE TRAFIK;43N09,465;6E40,035;WGS 84;56 / 3;Cavalaire
Vérifié;LES 3 FRERES;43N09,468;6E36,738;WGS 84;37 / 1;Cavalaire
Vérifié;L'ESPINGOLE;43N09,682;6E36,254;WGS 84;38 / 3;Cavalaire
Livre JONCHERAY;LE DIAMANT NOIR;43N09,776;6E36,442;WGS 84;30;Cavalaire
Vérifié;TOGO Arrière;43N10,003;6E35,558;WGS 84;67;Cavalaire
Livre JONCHERAY;P38 LIGHTNING;43N10,068;5E40,180;WGS 84;c;La Ciotat
Vérifié;VILLE DE VALENCE dit LE TOGO;43N10,081;6E35,554;WGS 84;56 / 3;Cavalaire
Vérifié;TORPILLEUR 178 ou LAS;43N10,168;6E35,648;WGS 84;46 / 2;Cavalaire
Livre JONCHERAY;Chalutier et ancres;43N10,190;5E38,204;WGS 84;44;La Ciotat
Livre JONCHERAY;RAMON MEUMBRU;43N10,422;6E32,565;WGS 84;22;Cavalaire
Livre JONCHERAY;LE FORTIER;43N10,474;5E39,153;WGS 84;34;La Ciotat
Livre JONCHERAY;LA Vedette VTB 7;43N10,555;6E39,878;WGS 84;52 / 2;Cavalaire
Vérifié;LA POURSUIVANTE;43N10,980;6E40,769;WGS 84;58;Cavalaire
Livre JONCHERAY;GHRIB;43N11,079;5E27,559;WGS 84;90;Morgiou
Livre JONCHERAY;GUARANI;43N11,149;5E25,061;ED 50;85;Cassis
Vérifié;RUBIS;43N11,301;6E42,038;WGS 84;40 / 3;Cavalaire
Vérifié;CHAOUEN;43N11,921;5E13,734;WGS 84;30 / 3;Marseille
Vérifié;DALTON;43N12,000;5E13,844;WGS 84;;Marseille
