Date début;Date fin;Période;Lieu;Bilan
2007-08-01;2007-08-07;Été;Ouessant;https://besibo.github.io/AP/www/Bilans/Bilan001.pdf
2009-04-11;2009-04-13;Pâques;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan002.pdf
2009-04-18;2009-04-20;Pâques;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan003.pdf
2009-07-04;2009-07-18;Été;Camaret - Conquet;https://besibo.github.io/AP/www/Bilans/Bilan004.pdf
2009-10-24;2009-10-31;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan005.pdf
2010-04-03;2010-04-11;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan006.pdf
2010-05-13;2010-05-16;Ascension;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan007.pdf
2010-05-22;2010-05-24;Pentecôte;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan081.pdf
2010-08-16;2010-08-24;Été;Camaret;https://besibo.github.io/AP/www/Bilans/Bilan009.pdf
2010-10-23;2010-10-30;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan010.pdf
2011-04-24;2011-05-01;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan011.pdf
2011-06-02;2011-06-04;Ascension;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan012.pdf
2011-08-17;2011-08-27;Été;Lot;https://besibo.github.io/AP/www/Bilans/Bilan013.pdf
2011-10-22;2011-10-29;Toussaint;Giens;https://besibo.github.io/AP/www/Bilans/Bilan014.pdf
2012-04-22;2012-04-28;Pâques;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan015.pdf
2012-05-17;2012-05-20;Ascension;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan016.pdf
2012-07-07;2012-07-15;Été;Lanildut;https://besibo.github.io/AP/www/Bilans/Bilan017.pdf
2013-04-20;2013-04-27;Pâques;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan018.pdf
2013-08-17;2013-08-23;Été;Banyuls;https://besibo.github.io/AP/www/Bilans/Bilan019.pdf
2013-10-26;2013-11-02;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan020.pdf
2014-04-26;2014-05-02;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan021.pdf
2014-05-29;2014-06-01;Ascension;Oléron;https://besibo.github.io/AP/www/Bilans/Bilan022.pdf
2014-08-14;2014-08-23;Été;Lanildut;https://besibo.github.io/AP/www/Bilans/Bilan023.pdf
2014-10-25;2014-11-01;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan024.pdf
2015-05-02;2015-05-08;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan025.pdf
2015-07-18;2015-07-27;Été;Ouessant;https://besibo.github.io/AP/www/Bilans/Bilan026.pdf
2015-10-24;2015-10-31;Toussaint;Lot;https://besibo.github.io/AP/www/Bilans/Bilan027.pdf
2016-04-16;2016-04-22;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan028.pdf
2016-05-14;2016-05-16;Pentecôte;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan290.pdf
2016-07-23;2016-07-30;Été;Ouessant;https://besibo.github.io/AP/www/Bilans/Bilan030.pdf
2016-10-23;2016-10-23;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan031.pdf
2017-04-22;2017-04-29;Pâques;Giens;https://besibo.github.io/AP/www/Bilans/Bilan032.pdf
2017-06-03;2017-06-05;Pentecôte;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan033.pdf
2017-07-30;2017-08-04;Été;Lanildut;https://besibo.github.io/AP/www/Bilans/Bilan034.pdf
2017-10-28;2017-11-04;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan035.pdf
2018-04-14;2018-04-21;Pâques;La Londe;https://besibo.github.io/AP/www/Bilans/Bilan036.pdf
2018-05-19;2018-05-21;Ascension;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan037.pdf
2018-07-21;2018-07-28;Été;Camaret;https://besibo.github.io/AP/www/Bilans/Bilan038.pdf
2018-10-27;2018-11-03;Toussaint;Cavalaire;https://besibo.github.io/AP/www/Bilans/Bilan039.pdf
2019-04-20;2019-04-27;Pâques;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan040.pdf
2019-07-20;2019-07-27;Été;Ouessant;https://besibo.github.io/AP/www/Bilans/Bilan041.pdf
2019-10-23;2019-10-31;Toussaint;La Londe;https://besibo.github.io/AP/www/Bilans/Bilan042.pdf
2020-07-25;2020-08-01;Été;Lorient;https://besibo.github.io/AP/www/Bilans/Bilan043.pdf
2020-10-24;2020-10-31;Toussaint;La Londe;https://besibo.github.io/AP/www/Bilans/Bilan044.pdf
2021-07-31;2021-08-07;Été;Lanildut;https://besibo.github.io/AP/www/Bilans/Bilan045.pdf
2021-10-30;2021-11-06;Toussaint;Marseille;https://besibo.github.io/AP/www/Bilans/Bilan046.pdf
2022-04-23;2022-04-30;Pâques;Cavalaire;https://besibo.github.io/AP/Cavalaire2022.html
2022-07-23;2022-07-30;Été;Lorient;https://besibo.github.io/AP/Lorient2022.html
